feature,importance
Contract,0.4883177450770407
PaymentMethod,0.10403537479787016
tenure,0.09099862028957528
MonthlyCharges,0.05824834677202039
OnlineSecurity,0.04513315629866178
PaperlessBilling,0.037319814249834334
TechSupport,0.03540195038297323
InternetService,0.03399145913832311
TotalCharges,0.028209601656035015
Dependents,0.017996609255794535
gender,0.017511287767676815
MultipleLines,0.011997530483191937
OnlineBackup,0.011146890416531153
Partner,0.006944088967811215
StreamingMovies,0.004655521751555807
StreamingTV,0.00273957330593206
PhoneService,0.002034996081721199
SeniorCitizen,0.0020033174318912898
DeviceProtection,0.0013141158755602127
