tenure,Contract,MonthlyCharges,TotalCharges,cluster,segment,Churn
1,0,29.85,29.85,1,At-Risk Customers,0
34,1,56.95,1889.5,2,Loyal Customers,0
2,0,53.85,108.15,1,At-Risk Customers,1
45,1,42.3,1840.75,2,Loyal Customers,0
2,0,70.7,151.65,3,New Users,1
8,0,99.65,820.5,3,New Users,1
22,0,89.1,1949.4,3,New Users,0
10,0,29.75,301.9,1,At-Risk Customers,0
28,0,104.8,3046.05,3,New Users,1
62,1,56.15,3487.95,2,Loyal Customers,0
13,0,49.95,587.45,1,At-Risk Customers,0
16,2,18.95,326.8,2,Loyal Customers,0
58,1,100.35,5681.1,0,Passive Users,0
49,0,103.7,5036.3,0,Passive Users,1
25,0,105.5,2686.05,3,New Users,0
69,2,113.25,7895.15,0,Passive Users,0
52,1,20.65,1022.95,2,Loyal Customers,0
71,2,106.7,7382.25,0,Passive Users,0
10,0,55.2,528.35,1,At-Risk Customers,1
21,0,90.05,1862.9,3,New Users,0
1,0,39.65,39.65,1,At-Risk Customers,1
12,1,19.8,202.25,1,At-Risk Customers,0
1,0,20.15,20.15,1,At-Risk Customers,1
58,2,59.9,3505.1,2,Loyal Customers,0
49,0,59.6,2970.3,3,New Users,0
30,0,55.3,1530.6,3,New Users,0
47,0,99.35,4749.15,0,Passive Users,1
1,0,30.2,30.2,1,At-Risk Customers,1
72,2,90.25,6369.45,0,Passive Users,0
17,0,64.7,1093.1,3,New Users,1
71,2,96.35,6766.95,0,Passive Users,0
2,0,95.5,181.65,3,New Users,0
27,1,66.15,1874.45,3,New Users,0
1,0,20.2,20.2,1,At-Risk Customers,0
1,0,45.25,45.25,1,At-Risk Customers,0
72,2,99.9,7251.7,0,Passive Users,0
5,0,69.7,316.9,3,New Users,1
46,0,74.8,3548.3,3,New Users,0
34,0,106.35,3549.25,3,New Users,1
11,0,97.85,1105.4,3,New Users,1
10,1,49.55,475.7,1,At-Risk Customers,0
70,2,69.2,4872.35,0,Passive Users,0
17,1,20.75,418.25,1,At-Risk Customers,0
63,2,79.85,4861.45,0,Passive Users,0
13,0,76.2,981.45,3,New Users,0
49,0,84.5,3906.7,3,New Users,0
2,0,49.25,97.0,1,At-Risk Customers,0
2,0,80.65,144.15,3,New Users,1
52,2,79.75,4217.8,0,Passive Users,0
69,2,64.15,4254.1,0,Passive Users,0
43,0,90.25,3838.75,3,New Users,0
15,0,99.1,1426.4,3,New Users,1
25,0,69.5,1752.65,3,New Users,0
8,0,80.65,633.3,3,New Users,1
60,1,74.85,4456.35,0,Passive Users,0
18,0,95.45,1752.55,3,New Users,1
63,1,99.65,6311.2,0,Passive Users,0
66,1,108.45,7076.35,0,Passive Users,0
34,2,24.95,894.3,2,Loyal Customers,0
72,2,107.5,7853.7,0,Passive Users,0
47,0,100.5,4707.1,0,Passive Users,0
60,0,89.9,5450.7,0,Passive Users,0
72,2,42.1,2962.0,2,Loyal Customers,0
18,1,54.4,957.1,1,At-Risk Customers,0
9,0,94.4,857.25,3,New Users,1
3,0,75.3,244.1,3,New Users,0
47,1,78.9,3650.35,0,Passive Users,0
31,2,79.2,2497.2,2,Loyal Customers,0
50,2,20.15,930.9,2,Loyal Customers,0
10,0,79.85,887.35,3,New Users,0
1,0,49.05,49.05,1,At-Risk Customers,0
52,1,20.4,1090.65,2,Loyal Customers,0
64,2,111.6,7099.0,0,Passive Users,0
62,2,24.25,1424.6,2,Loyal Customers,0
3,0,64.5,177.4,3,New Users,0
56,1,110.5,6139.5,0,Passive Users,0
46,1,55.65,2688.85,2,Loyal Customers,0
8,0,54.65,482.25,1,At-Risk Customers,0
30,0,74.75,2111.3,3,New Users,0
45,1,25.9,1216.6,2,Loyal Customers,0
1,0,79.35,79.35,3,New Users,1
11,0,50.55,565.35,1,At-Risk Customers,0
7,0,75.15,496.9,3,New Users,1
42,0,103.8,4327.5,3,New Users,0
49,2,20.15,973.35,2,Loyal Customers,0
9,0,99.3,918.75,3,New Users,0
35,1,62.15,2215.45,2,Loyal Customers,0
48,2,20.65,1057.0,2,Loyal Customers,0
46,2,19.95,927.1,2,Loyal Customers,0
29,0,33.75,1009.25,1,At-Risk Customers,0
30,0,82.05,2570.2,3,New Users,0
1,0,74.7,74.7,3,New Users,0
66,2,84.0,5714.25,0,Passive Users,0
65,0,111.05,7107.0,0,Passive Users,0
72,2,100.9,7459.05,0,Passive Users,0
12,0,78.95,927.35,3,New Users,1
71,1,66.85,4748.7,0,Passive Users,0
5,0,21.05,113.85,1,At-Risk Customers,1
52,2,21.0,1107.2,2,Loyal Customers,0
25,0,98.5,2514.5,3,New Users,1
1,0,20.2,20.2,1,At-Risk Customers,0
1,0,19.45,19.45,1,At-Risk Customers,0
38,1,95.0,3605.6,0,Passive Users,0
66,1,45.55,3027.25,2,Loyal Customers,0
68,2,110.0,7611.85,0,Passive Users,1
5,0,24.3,100.2,1,At-Risk Customers,0
72,1,104.15,7303.05,0,Passive Users,0
32,1,30.15,927.65,2,Loyal Customers,0
43,1,94.35,3921.3,0,Passive Users,0
72,2,19.4,1363.25,2,Loyal Customers,0
55,0,96.75,5238.9,0,Passive Users,1
52,1,57.95,3042.25,2,Loyal Customers,0
43,0,91.65,3954.1,3,New Users,0
37,0,76.5,2868.15,3,New Users,1
64,2,54.6,3423.5,2,Loyal Customers,0
3,0,89.85,248.4,3,New Users,0
36,2,31.05,1126.35,2,Loyal Customers,0
10,0,100.25,1064.65,3,New Users,1
